#,nombre archivo,Colección,dspace.entity.type,dc.contributor.entity ,dc.ciudad,dc.date.issued,dc.description.tableofcontents,dc.format,dc.format.extent,dc.format.medium,dc.subject,dc.type,dc.type.evento,fia.catalogador,fia.clasificacionlocal,fia.comuna,fia.convocatoria,fia.desafio-estrategico,fia.ejecucion,fia.especie,fia.iniciativa,fia.linea-de-accion,fia.notageneral,fia.participacion,fia.provincia,fia.realizacion,fia.region,fia.rubro,fia.sector,fia.subsector,fia.tema,dc.title,dc.title.alternative,dc.description,dc.description.abstract
1,COC-2016-0429_1.JPG,Fotografías,Fotografía,Fundación para la Innovación Agraria (FIA),Victoria,2016,1 Fotografía.,imagen/jpg,2448 x 3264 píxeles,"2,33 MB",OVINOS || IDENTIDAD TERRITORIAL || PRODUCCIÓN ARTESANAL || LANA || TEXTIL || PRODUCTOS || COMPETITIVIDAD,Fotografías,Consultorías,iag,COC-2016-0429,Victoria,Convocatoria Nacional 2016 Consultorías para la innovación,Procesos Innovadores,Región de La Araucanía,General para rubro Ovinos de lana [General para rubro Ovinos de lana],Consultoría COC-2016-0429,Sistemas productivos intensivos,"Esta fotografía esta asociada a la Consultoría COC-2016-0429 “ Mejorando la competitividad de la cadena de valor ovina a través de la innovación en la intervención y transformación del proceso productivo artesanal de la lana, asociada a la elaboración de textilería con identidad”.",Región de La Araucanía,Malleco,Región de La Araucanía,Región de La Araucanía,Ovinos de lana,Otros productos (elaborados),Textiles,Calidad || Extensión y difusión tecnológica || Gestión || Artesanía / producto artesanal || Manejo productivo,Textilería artesanal con diseño indígena.,Elaboración de textilería con lana de oveja.,"Muestra un tejido artesanal en tonos rojos y verdes, con un diseño geométrico en negro. La pieza textil está elaborada con lana de oveja, destacando la técnica de telar. Se observa un enfoque en la identidad cultural a través del uso de patrones tradicionales. El entorno incluye materiales de lana en diferentes colores, evidenciando el proceso de producción textil.","La imagen resalta la importancia de la textilería artesanal en la cadena de valor ovina, promoviendo la identidad cultural y la innovación en el proceso productivo."
1,COC-2016-0429_1.JPG,Fotografías,Fotografía,Fundación para la Innovación Agraria (FIA),Victoria,2016,1 Fotografía.,imagen/jpg,3264 x 2448 píxeles,"2,33 MB",OVINOS || IDENTIDAD TERRITORIAL || PRODUCCIÓN ARTESANAL || LANA || TEXTIL || PRODUCTOS || COMPETITIVIDAD,Fotografías,Consultorías,iag,COC-2016-0429,Victoria,Convocatoria Nacional 2016 Consultorías para la innovación,Procesos Innovadores,Región de La Araucanía,General para rubro Ovinos de lana [General para rubro Ovinos de lana],Consultoría COC-2016-0429,Sistemas productivos intensivos,"Esta fotografía está asociada a la Consultoría COC-2016-0429 “Mejorando la competitividad de la cadena de valor ovina a través de la innovación en la intervención y transformación del proceso productivo artesanal de la lana, asociada a la elaboración de textilería con identidad territorial”.",Región de La Araucanía,Malleco,Región de La Araucanía,Región de La Araucanía,Ovinos de lana,Otros productos (elaborados),Textiles,Calidad || Extensión y difusión tecnológica || Gestión || Artesanía / producto artesanal || Manejo productivo,Textilería artesanal con lana de oveja.,Elaboración de tejido con identidad territorial.,"Tejido artesanal elaborado con lana de oveja, presentando un diseño geométrico en tonos rojos y negros. La pieza textil se encuentra sobre un fondo de otros materiales, evidenciando el uso de técnicas tradicionales de telar. El diseño refleja la identidad cultural y territorial de la comunidad productora, destacando la importancia de la innovación en la cadena de valor ovina.","La imagen ilustra el proceso de elaboración de textilería artesanal, resaltando la relevancia de la lana de oveja en la producción textil y su conexión con la identidad cultural local."
2,COC-2016-0429_10.JPG,Fotografías,Fotografía,Fundación para la Innovación Agraria (FIA),Victoria,2016,1 Fotografía.,imagen/jpg,3264 x 2448 píxeles,"2,76 MB",OVINOS || IDENTIDAD TERRITORIAL || PRODUCCIÓN ARTESANAL || LANA || TEXTIL || PRODUCTOS || COMPETITIVIDAD,Fotografías,Consultorías,iag,COC-2016-0429,Victoria,Convocatoria Nacional 2016 Consultorías para la innovación,Procesos Innovadores,Región de La Araucanía,General para rubro Ovinos de lana [General para rubro Ovinos de lana],Consultoría COC-2016-0429,Sistemas productivos intensivos,"Esta fotografía está asociada a la Consultoría COC-2016-0429 “Mejorando la competitividad de la cadena de valor ovina a través de la innovación en la intervención y transformación del proceso productivo artesanal de la lana, asociada a la elaboración de textilería con identidad territorial”.",Región de La Araucanía,Malleco,Región de La Araucanía,Región de La Araucanía,Ovinos de lana,Otros productos (elaborados),Textiles,Calidad || Extensión y difusión tecnológica || Gestión || Artesanía / producto artesanal || Manejo productivo,Teñido de lana con colorantes naturales.,Proceso de teñido de lana en olla.,"Proceso de teñido de lana de oveja utilizando colorantes naturales en una olla sobre un fogón. La artesana, con una cuchara de madera, mezcla la lana en el líquido teñido. El entorno es un espacio exterior con un fondo de muro de ladrillo y vegetación. Se observa un fogón de metal que proporciona calor para el proceso de teñido.","El teñido de lana es una etapa crucial en la producción de textilería artesanal, contribuyendo a la identidad territorial y a la competitividad de la cadena de valor ovina."
3,COC-2016-0429_100.JPG,Fotografías,Fotografía,Fundación para la Innovación Agraria (FIA),Victoria,2016,1 Fotografía.,imagen/jpg,3264 x 2448 píxeles,"1,27 MB",OVINOS || IDENTIDAD TERRITORIAL || PRODUCCIÓN ARTESANAL || LANA || TEXTIL || PRODUCTOS || COMPETITIVIDAD,Fotografías,Consultorías,iag,COC-2016-0429,Victoria,Convocatoria Nacional 2016 Consultorías para la innovación,Procesos Innovadores,Región de La Araucanía,General para rubro Ovinos de lana [General para rubro Ovinos de lana],Consultoría COC-2016-0429,Sistemas productivos intensivos,"Esta fotografía está asociada a la Consultoría COC-2016-0429 “Mejorando la competitividad de la cadena de valor ovina a través de la innovación en la intervención y transformación del proceso productivo artesanal de la lana, asociada a la elaboración de textilería con identidad territorial”.",Región de La Araucanía,Malleco,Región de La Araucanía,Región de La Araucanía,Ovinos de lana,Otros productos (elaborados),Textiles,Calidad || Extensión y difusión tecnológica || Gestión || Artesanía / producto artesanal || Manejo productivo,Entrega de certificado de capacitación.,Reconocimiento a la participación en el proyecto de textilería.,"Ceremonia de entrega de certificado a una artesana involucrada en el proyecto de mejora de la cadena de valor ovina. Se observa a un representante de la consultoría y a la artesana sosteniendo el documento, en un ambiente formal con fondo neutro. La entrega simboliza el reconocimiento de la capacitación en técnicas de transformación de la lana y el fortalecimiento de la identidad territorial.","La imagen destaca la importancia de la capacitación en el proceso productivo artesanal de la lana, contribuyendo a la competitividad de la cadena de valor ovina."
4,COC-2016-0429_101.JPG,Fotografías,Fotografía,Fundación para la Innovación Agraria (FIA),Victoria,2016,1 Fotografía.,imagen/jpg,3264 x 2448 píxeles,"1,83 MB",OVINOS || IDENTIDAD TERRITORIAL || PRODUCCIÓN ARTESANAL || LANA || TEXTIL || PRODUCTOS || COMPETITIVIDAD,Fotografías,Consultorías,iag,COC-2016-0429,Victoria,Convocatoria Nacional 2016 Consultorías para la innovación,Procesos Innovadores,Región de La Araucanía,General para rubro Ovinos de lana [General para rubro Ovinos de lana],Consultoría COC-2016-0429,Sistemas productivos intensivos,"Esta fotografía está asociada a la Consultoría COC-2016-0429 “Mejorando la competitividad de la cadena de valor ovina a través de la innovación en la intervención y transformación del proceso productivo artesanal de la lana, asociada a la elaboración de textilería con identidad territorial”.",Región de La Araucanía,Malleco,Región de La Araucanía,Región de La Araucanía,Ovinos de lana,Otros productos (elaborados),Textiles,Calidad || Extensión y difusión tecnológica || Gestión || Artesanía / producto artesanal || Manejo productivo,Entrega de certificado a artesana.,Reconocimiento a la labor de artesanas en textilería.,"Ceremonia de entrega de certificado a una artesana destacada en el proceso de elaboración de textilería con lana de oveja. La artesana sostiene un certificado en sus manos, mientras que una representante del proyecto le entrega el reconocimiento. El entorno incluye una presentación en pantalla y elementos textiles que reflejan la identidad territorial del trabajo artesanal.","La imagen documenta un momento clave en la valorización del trabajo artesanal en la cadena de valor ovina, resaltando la importancia del reconocimiento a las artesanas en el contexto de la innovación y mejora de procesos productivos."
5,COC-2016-0429_102.JPG,Fotografías,Fotografía,Fundación para la Innovación Agraria (FIA),Victoria,2016,1 Fotografía.,imagen/jpg,3264 x 2448 píxeles,"1,66 MB",OVINOS || IDENTIDAD TERRITORIAL || PRODUCCIÓN ARTESANAL || LANA || TEXTIL || PRODUCTOS || COMPETITIVIDAD,Fotografías,Consultorías,iag,COC-2016-0429,Victoria,Convocatoria Nacional 2016 Consultorías para la innovación,Procesos Innovadores,Región de La Araucanía,General para rubro Ovinos de lana [General para rubro Ovinos de lana],Consultoría COC-2016-0429,Sistemas productivos intensivos,"Esta fotografía está asociada a la Consultoría COC-2016-0429 “Mejorando la competitividad de la cadena de valor ovina a través de la innovación en la intervención y transformación del proceso productivo artesanal de la lana, asociada a la elaboración de textilería con identidad territorial”.",Región de La Araucanía,Malleco,Región de La Araucanía,Región de La Araucanía,Ovinos de lana,Otros productos (elaborados),Textiles,Calidad || Extensión y difusión tecnológica || Gestión || Artesanía / producto artesanal || Manejo productivo,Entrega de reconocimiento a artesana.,Ceremonia de premiación a la artesana textil.,"Interacción entre un representante del proyecto y una artesana, quien recibe un certificado de reconocimiento por su labor en la producción de textilería con lana de oveja. La escena se desarrolla en un ambiente formal, con un telón de fondo que incluye elementos textiles. La artesana exhibe una expresión de alegría y orgullo, reflejando el impacto positivo del proyecto en su trabajo.","La imagen captura un momento significativo en la valorización del trabajo artesanal, destacando la importancia de la innovación en la cadena de valor ovina y su contribución a la identidad territorial."
6,COC-2016-0429_103.JPG,Fotografías,Fotografía,Fundación para la Innovación Agraria (FIA),Victoria,2016,1 Fotografía.,imagen/jpg,3264 x 2448 píxeles,"1,93 MB",OVINOS || IDENTIDAD TERRITORIAL || PRODUCCIÓN ARTESANAL || LANA || TEXTIL || PRODUCTOS || COMPETITIVIDAD,Fotografías,Consultorías,iag,COC-2016-0429,Victoria,Convocatoria Nacional 2016 Consultorías para la innovación,Procesos Innovadores,Región de La Araucanía,General para rubro Ovinos de lana [General para rubro Ovinos de lana],Consultoría COC-2016-0429,Sistemas productivos intensivos,"Esta fotografía está asociada a la Consultoría COC-2016-0429 “Mejorando la competitividad de la cadena de valor ovina a través de la innovación en la intervención y transformación del proceso productivo artesanal de la lana, asociada a la elaboración de textilería con identidad territorial”.",Región de La Araucanía,Malleco,Región de La Araucanía,Región de La Araucanía,Ovinos de lana,Otros productos (elaborados),Textiles,Calidad || Extensión y difusión tecnológica || Gestión || Artesanía / producto artesanal || Manejo productivo,Entrega de certificación a artesana.,Reconocimiento a la labor artesanal en textilería.,"Ceremonia de entrega de un certificado a una artesana, destacando su participación en el proceso de mejora de la cadena de valor ovina. Se observa a un hombre entregando el documento a la mujer, quien viste un atuendo tradicional. El fondo presenta un telar y elementos de textilería, evidenciando el contexto artesanal y la identidad territorial del proyecto.",La imagen resalta el reconocimiento a las artesanas en el marco de un proyecto que busca fortalecer la competitividad de la cadena de valor de la lana a través de la innovación en procesos productivos artesanales.
7,COC-2016-0429_104.JPG,Fotografías,Fotografía,Fundación para la Innovación Agraria (FIA),Victoria,2016,1 Fotografía.,imagen/jpg,3264 x 2448 píxeles,"1,03 MB",OVINOS || IDENTIDAD TERRITORIAL || PRODUCCIÓN ARTESANAL || LANA || TEXTIL || PRODUCTOS || COMPETITIVIDAD,Fotografías,Consultorías,iag,COC-2016-0429,Victoria,Convocatoria Nacional 2016 Consultorías para la innovación,Procesos Innovadores,Región de La Araucanía,General para rubro Ovinos de lana [General para rubro Ovinos de lana],Consultoría COC-2016-0429,Sistemas productivos intensivos,"Esta fotografía está asociada a la Consultoría COC-2016-0429 “Mejorando la competitividad de la cadena de valor ovina a través de la innovación en la intervención y transformación del proceso productivo artesanal de la lana, asociada a la elaboración de textilería con identidad territorial”.",Región de La Araucanía,Malleco,Región de La Araucanía,Región de La Araucanía,Ovinos de lana,Otros productos (elaborados),Textiles,Calidad || Extensión y difusión tecnológica || Gestión || Artesanía / producto artesanal || Manejo productivo,Interacción en taller de textilería.,Asesoría en proceso de elaboración textil.,Interacción entre un asesor y una artesana durante un taller sobre la transformación del proceso productivo de la lana. Se observa la entrega de documentación que puede incluir pautas o técnicas para mejorar la competitividad en la cadena de valor ovina. El entorno es un espacio cerrado con un telón de fondo rojo y una muestra de textilería en exhibición.,"La imagen refleja un momento clave en la capacitación de artesanas, promoviendo la innovación en la elaboración de textilería con identidad territorial, en el marco de la consultoría para mejorar la competitividad de la cadena de valor ovina."
8,COC-2016-0429_105.JPG,Fotografías,Fotografía,Fundación para la Innovación Agraria (FIA),Victoria,2016,1 Fotografía.,imagen/jpg,3264 x 2448 píxeles,"1,11 MB",OVINOS || IDENTIDAD TERRITORIAL || PRODUCCIÓN ARTESANAL || LANA || TEXTIL || PRODUCTOS || COMPETITIVIDAD,Fotografías,Consultorías,iag,COC-2016-0429,Victoria,Convocatoria Nacional 2016 Consultorías para la innovación,Procesos Innovadores,Región de La Araucanía,General para rubro Ovinos de lana [General para rubro Ovinos de lana],Consultoría COC-2016-0429,Sistemas productivos intensivos,"Esta fotografía está asociada a la Consultoría COC-2016-0429 “Mejorando la competitividad de la cadena de valor ovina a través de la innovación en la intervención y transformación del proceso productivo artesanal de la lana, asociada a la elaboración de textilería con identidad territorial”.",Región de La Araucanía,Malleco,Región de La Araucanía,Región de La Araucanía,Ovinos de lana,Otros productos (elaborados),Textiles,Calidad || Extensión y difusión tecnológica || Gestión || Artesanía / producto artesanal || Manejo productivo,Entrega de reconocimiento a artesana.,Ceremonia de premiación a artesana textil.,"Ceremonia de entrega de un reconocimiento a una artesana que participa en el proyecto de mejora de la cadena de valor ovina. El evento se desarrolla en un espacio cerrado, con un telón de fondo rojo y una muestra de textilería en exhibición. La artesana sostiene un certificado, mientras que un representante del proyecto se encuentra a su lado, ambos posando para la fotografía.","La imagen documenta un momento significativo en el proceso de valorización de la textilería artesanal, destacando la importancia del reconocimiento a las habilidades de las artesanas en el contexto de la innovación y mejora de la competitividad en la cadena de valor ovina."
9,COC-2016-0429_106.JPG,Fotografías,Fotografía,Fundación para la Innovación Agraria (FIA),Victoria,2016,1 Fotografía.,imagen/jpg,3264 x 2448 píxeles,"1,38 MB",OVINOS || IDENTIDAD TERRITORIAL || PRODUCCIÓN ARTESANAL || LANA || TEXTIL || PRODUCTOS || COMPETITIVIDAD,Fotografías,Consultorías,iag,COC-2016-0429,Victoria,Convocatoria Nacional 2016 Consultorías para la innovación,Procesos Innovadores,Región de La Araucanía,General para rubro Ovinos de lana [General para rubro Ovinos de lana],Consultoría COC-2016-0429,Sistemas productivos intensivos,"Esta fotografía está asociada a la Consultoría COC-2016-0429 “Mejorando la competitividad de la cadena de valor ovina a través de la innovación en la intervención y transformación del proceso productivo artesanal de la lana, asociada a la elaboración de textilería con identidad territorial”.",Región de La Araucanía,Malleco,Región de La Araucanía,Región de La Araucanía,Ovinos de lana,Otros productos (elaborados),Textiles,Calidad || Extensión y difusión tecnológica || Gestión || Artesanía / producto artesanal || Manejo productivo,Entrega de certificados a artesanas.,Reconocimiento a la capacitación en textilería.,"Dos mujeres sosteniendo certificados de reconocimiento por su participación en un programa de capacitación relacionado con la textilería artesanal. El entorno presenta un telar en el fondo, indicando la conexión con el proceso productivo de la lana. La vestimenta de las participantes refleja la identidad cultural y territorial del proyecto.","La imagen resalta la importancia de la capacitación en la cadena de valor ovina, promoviendo la innovación y el fortalecimiento de la identidad territorial a través de la textilería artesanal."
10,COC-2016-0429_107.JPG,Fotografías,Fotografía,Fundación para la Innovación Agraria (FIA),Victoria,2016,1 Fotografía.,imagen/jpg,3264 x 2448 píxeles,"1,56 MB",OVINOS || IDENTIDAD TERRITORIAL || PRODUCCIÓN ARTESANAL || LANA || TEXTIL || PRODUCTOS || COMPETITIVIDAD,Fotografías,Consultorías,iag,COC-2016-0429,Victoria,Convocatoria Nacional 2016 Consultorías para la innovación,Procesos Innovadores,Región de La Araucanía,General para rubro Ovinos de lana [General para rubro Ovinos de lana],Consultoría COC-2016-0429,Sistemas productivos intensivos,"Esta fotografía está asociada a la Consultoría COC-2016-0429 “Mejorando la competitividad de la cadena de valor ovina a través de la innovación en la intervención y transformación del proceso productivo artesanal de la lana, asociada a la elaboración de textilería con identidad territorial”.",Región de La Araucanía,Malleco,Región de La Araucanía,Región de La Araucanía,Ovinos de lana,Otros productos (elaborados),Textiles,Calidad || Extensión y difusión tecnológica || Gestión || Artesanía / producto artesanal || Manejo productivo,Entrega de certificado a artesana.,Reconocimiento a la labor artesanal en textilería.,"Interacción entre dos personas en un evento de reconocimiento, donde una artesana recibe un certificado que valida su participación en el proceso de mejora de la cadena de valor ovina. La entrega del documento se realiza en un entorno formal, con un telar visible al fondo, lo que resalta la conexión con la textilería artesanal. La artesana sostiene el certificado, evidenciando su logro en la capacitación y desarrollo de habilidades en la elaboración de productos textiles.","El evento destaca la importancia de la capacitación en la mejora de la competitividad de la cadena de valor ovina, promoviendo la identidad territorial a través de la textilería artesanal."
11,COC-2016-0429_108.JPG,Fotografías,Fotografía,Fundación para la Innovación Agraria (FIA),Victoria,2016,1 Fotografía.,imagen/jpg,3264 x 2448 píxeles,"1,94 MB",OVINOS || IDENTIDAD TERRITORIAL || PRODUCCIÓN ARTESANAL || LANA || TEXTIL || PRODUCTOS || COMPETITIVIDAD,Fotografías,Consultorías,iag,COC-2016-0429,Victoria,Convocatoria Nacional 2016 Consultorías para la innovación,Procesos Innovadores,Región de La Araucanía,General para rubro Ovinos de lana [General para rubro Ovinos de lana],Consultoría COC-2016-0429,Sistemas productivos intensivos,"Esta fotografía está asociada a la Consultoría COC-2016-0429 “Mejorando la competitividad de la cadena de valor ovina a través de la innovación en la intervención y transformación del proceso productivo artesanal de la lana, asociada a la elaboración de textilería con identidad territorial”.",Región de La Araucanía,Malleco,Región de La Araucanía,Región de La Araucanía,Ovinos de lana,Otros productos (elaborados),Textiles,Calidad || Extensión y difusión tecnológica || Gestión || Artesanía / producto artesanal || Manejo productivo,Entrega de certificado a artesanas.,Reconocimiento a la labor de artesanas en textilería.,"Ceremonia de entrega de certificados a artesanas involucradas en el proyecto de mejora de la cadena de valor ovina. Las participantes sostienen un certificado que valida su capacitación en técnicas de transformación de lana. El entorno incluye un telar en el fondo, evidenciando la conexión con la producción textil artesanal.","La imagen resalta la importancia del reconocimiento a las artesanas, fortaleciendo su capacidad en la elaboración de productos textiles con identidad territorial, en el marco de la consultoría para mejorar la competitividad de la cadena de valor ovina."
